"Fradato";"Tildato";"Forbrug i kroner"
"=""11-01-2024 07:00""";"=""11-01-2024 08:00""";"1,03 kr."
"=""11-01-2024 08:00""";"=""11-01-2024 09:00""";"0,87 kr."
"=""11-01-2024 09:00""";"=""11-01-2024 10:00""";"0,87 kr."
"=""11-01-2024 10:00""";"=""11-01-2024 11:00""";"0,72 kr."
"=""11-01-2024 11:00""";"=""11-01-2024 12:00""";"0,67 kr."
"=""11-01-2024 12:00""";"=""11-01-2024 13:00""";"0,60 kr."
"=""11-01-2024 13:00""";"=""11-01-2024 14:00""";"0,68 kr."
"=""11-01-2024 14:00""";"=""11-01-2024 15:00""";"0,75 kr."
"=""11-01-2024 15:00""";"=""11-01-2024 16:00""";"0,75 kr."
"=""11-01-2024 16:00""";"=""11-01-2024 17:00""";"0,95 kr."
"=""11-01-2024 17:00""";"=""11-01-2024 18:00""";"3,73 kr."
"=""11-01-2024 18:00""";"=""11-01-2024 19:00""";"5,24 kr."
"=""11-01-2024 19:00""";"=""11-01-2024 20:00""";"1,23 kr."
"=""11-01-2024 20:00""";"=""11-01-2024 21:00""";"1,19 kr."
"=""11-01-2024 21:00""";"=""11-01-2024 22:00""";"0,78 kr."
"=""11-01-2024 22:00""";"=""11-01-2024 23:00""";"0,66 kr."
"=""11-01-2024 23:00""";"=""12-01-2024 00:00""";"0,49 kr."
"=""12-01-2024 00:00""";"=""12-01-2024 01:00""";"0,43 kr."
"=""12-01-2024 01:00""";"=""12-01-2024 02:00""";"0,33 kr."
"=""12-01-2024 02:00""";"=""12-01-2024 03:00""";"0,35 kr."
"=""12-01-2024 03:00""";"=""12-01-2024 04:00""";"0,35 kr."
"=""12-01-2024 04:00""";"=""12-01-2024 05:00""";"0,39 kr."
"=""12-01-2024 05:00""";"=""12-01-2024 06:00""";"0,35 kr."
"=""12-01-2024 06:00""";"=""12-01-2024 07:00""";"0,38 kr."
"=""12-01-2024 07:00""";"=""12-01-2024 08:00""";"0,48 kr."
"=""12-01-2024 08:00""";"=""12-01-2024 09:00""";"0,78 kr."
"=""12-01-2024 09:00""";"=""12-01-2024 10:00""";"0,71 kr."
"=""12-01-2024 10:00""";"=""12-01-2024 11:00""";"0,62 kr."
"=""12-01-2024 11:00""";"=""12-01-2024 12:00""";"0,69 kr."
"=""12-01-2024 12:00""";"=""12-01-2024 13:00""";"0,81 kr."
"=""12-01-2024 13:00""";"=""12-01-2024 14:00""";"1,57 kr."
"=""12-01-2024 14:00""";"=""12-01-2024 15:00""";"1,71 kr."
"=""12-01-2024 15:00""";"=""12-01-2024 16:00""";"3,70 kr."
"=""12-01-2024 16:00""";"=""12-01-2024 17:00""";"3,29 kr."
"=""12-01-2024 17:00""";"=""12-01-2024 18:00""";"5,73 kr."
"=""12-01-2024 18:00""";"=""12-01-2024 19:00""";"1,29 kr."
"=""12-01-2024 19:00""";"=""12-01-2024 20:00""";"1,23 kr."
"=""12-01-2024 20:00""";"=""12-01-2024 21:00""";"1,05 kr."
"=""12-01-2024 21:00""";"=""12-01-2024 22:00""";"0,81 kr."
"=""12-01-2024 22:00""";"=""12-01-2024 23:00""";"0,74 kr."
"=""12-01-2024 23:00""";"=""13-01-2024 00:00""";"0,57 kr."
"=""13-01-2024 00:00""";"=""13-01-2024 01:00""";"0,44 kr."
"=""13-01-2024 01:00""";"=""13-01-2024 02:00""";"0,27 kr."
"=""13-01-2024 02:00""";"=""13-01-2024 03:00""";"0,27 kr."
"=""13-01-2024 03:00""";"=""13-01-2024 04:00""";"0,29 kr."
"=""13-01-2024 04:00""";"=""13-01-2024 05:00""";"0,25 kr."
"=""13-01-2024 05:00""";"=""13-01-2024 06:00""";"0,23 kr."
"=""13-01-2024 06:00""";"=""13-01-2024 07:00""";"0,23 kr."
"=""13-01-2024 07:00""";"=""13-01-2024 08:00""";"0,28 kr."
"=""13-01-2024 08:00""";"=""13-01-2024 09:00""";"0,30 kr."
"=""13-01-2024 09:00""";"=""13-01-2024 10:00""";"0,43 kr."
"=""13-01-2024 10:00""";"=""13-01-2024 11:00""";"1,16 kr."
"=""13-01-2024 11:00""";"=""13-01-2024 12:00""";"2,85 kr."
"=""13-01-2024 12:00""";"=""13-01-2024 13:00""";"2,02 kr."
"=""13-01-2024 13:00""";"=""13-01-2024 14:00""";"0,69 kr."
"=""13-01-2024 14:00""";"=""13-01-2024 15:00""";"0,70 kr."
"=""13-01-2024 15:00""";"=""13-01-2024 16:00""";"0,54 kr."
"=""13-01-2024 16:00""";"=""13-01-2024 17:00""";"0,47 kr."
"=""13-01-2024 17:00""";"=""13-01-2024 18:00""";"1,91 kr."
"=""13-01-2024 18:00""";"=""13-01-2024 19:00""";"3,28 kr."
"=""13-01-2024 19:00""";"=""13-01-2024 20:00""";"1,42 kr."
"=""13-01-2024 20:00""";"=""13-01-2024 21:00""";"0,79 kr."
"=""13-01-2024 21:00""";"=""13-01-2024 22:00""";"0,64 kr."
"=""13-01-2024 22:00""";"=""13-01-2024 23:00""";"0,55 kr."
"=""13-01-2024 23:00""";"=""14-01-2024 00:00""";"0,54 kr."
"=""14-01-2024 00:00""";"=""14-01-2024 01:00""";"0,46 kr."
"=""14-01-2024 01:00""";"=""14-01-2024 02:00""";"0,35 kr."
"=""14-01-2024 02:00""";"=""14-01-2024 03:00""";"0,26 kr."
"=""14-01-2024 03:00""";"=""14-01-2024 04:00""";"0,20 kr."
"=""14-01-2024 04:00""";"=""14-01-2024 05:00""";"0,26 kr."
"=""14-01-2024 05:00""";"=""14-01-2024 06:00""";"0,30 kr."
"=""14-01-2024 06:00""";"=""14-01-2024 07:00""";"0,37 kr."
"=""14-01-2024 07:00""";"=""14-01-2024 08:00""";"0,40 kr."
"=""14-01-2024 08:00""";"=""14-01-2024 09:00""";"1,57 kr."
"=""14-01-2024 09:00""";"=""14-01-2024 10:00""";"3,26 kr."
"=""14-01-2024 10:00""";"=""14-01-2024 11:00""";"2,32 kr."
"=""14-01-2024 11:00""";"=""14-01-2024 12:00""";"0,96 kr."
"=""14-01-2024 12:00""";"=""14-01-2024 13:00""";"0,71 kr."
"=""14-01-2024 13:00""";"=""14-01-2024 14:00""";"0,63 kr."
"=""14-01-2024 14:00""";"=""14-01-2024 15:00""";"0,49 kr."
"=""14-01-2024 15:00""";"=""14-01-2024 16:00""";"0,47 kr."
"=""14-01-2024 16:00""";"=""14-01-2024 17:00""";"0,83 kr."
"=""14-01-2024 17:00""";"=""14-01-2024 18:00""";"1,18 kr."
"=""14-01-2024 18:00""";"=""14-01-2024 19:00""";"3,66 kr."
"=""14-01-2024 19:00""";"=""14-01-2024 20:00""";"2,55 kr."
"=""14-01-2024 20:00""";"=""14-01-2024 21:00""";"0,90 kr."
"=""14-01-2024 21:00""";"=""14-01-2024 22:00""";"0,73 kr."
