Fradato;Tildato;Forbrug i kroner
17-05-2023 19:00;17-05-2023 20:00;1,84 kr.
17-05-2023 20:00;17-05-2023 21:00;0,67 kr.
17-05-2023 21:00;17-05-2023 22:00;0,47 kr.
17-05-2023 22:00;17-05-2023 23:00;0,41 kr.
17-05-2023 23:00;18-05-2023 00:00;1,13 kr.
18-05-2023 00:00;18-05-2023 01:00;0,37 kr.
18-05-2023 01:00;18-05-2023 02:00;0,65 kr.
18-05-2023 02:00;18-05-2023 03:00;0,14 kr.
18-05-2023 03:00;18-05-2023 04:00;0,21 kr.
18-05-2023 04:00;18-05-2023 05:00;0,20 kr.
18-05-2023 05:00;18-05-2023 06:00;0,24 kr.
18-05-2023 06:00;18-05-2023 07:00;0,23 kr.
18-05-2023 07:00;18-05-2023 08:00;0,19 kr.
18-05-2023 08:00;18-05-2023 09:00;0,27 kr.
18-05-2023 09:00;18-05-2023 10:00;1,16 kr.
18-05-2023 10:00;18-05-2023 11:00;0,44 kr.
18-05-2023 11:00;18-05-2023 12:00;0,42 kr.
18-05-2023 12:00;18-05-2023 13:00;0,32 kr.
18-05-2023 13:00;18-05-2023 14:00;0,25 kr.
18-05-2023 14:00;18-05-2023 15:00;0,22 kr.
18-05-2023 15:00;18-05-2023 16:00;0,25 kr.
18-05-2023 16:00;18-05-2023 17:00;0,38 kr.
18-05-2023 17:00;18-05-2023 18:00;2,08 kr.
18-05-2023 18:00;18-05-2023 19:00;0,85 kr.
18-05-2023 19:00;18-05-2023 20:00;0,50 kr.
18-05-2023 20:00;18-05-2023 21:00;0,53 kr.
18-05-2023 21:00;18-05-2023 22:00;0,38 kr.
18-05-2023 22:00;18-05-2023 23:00;0,33 kr.
18-05-2023 23:00;19-05-2023 00:00;0,30 kr.
19-05-2023 00:00;19-05-2023 01:00;0,24 kr.
19-05-2023 01:00;19-05-2023 02:00;0,21 kr.
19-05-2023 02:00;19-05-2023 03:00;0,21 kr.
19-05-2023 03:00;19-05-2023 04:00;0,19 kr.
19-05-2023 04:00;19-05-2023 05:00;0,21 kr.
19-05-2023 05:00;19-05-2023 06:00;0,22 kr.
19-05-2023 06:00;19-05-2023 07:00;0,22 kr.
19-05-2023 07:00;19-05-2023 08:00;0,14 kr.
19-05-2023 08:00;19-05-2023 09:00;0,26 kr.
19-05-2023 09:00;19-05-2023 10:00;0,37 kr.
19-05-2023 10:00;19-05-2023 11:00;0,56 kr.
19-05-2023 11:00;19-05-2023 12:00;0,98 kr.
19-05-2023 12:00;19-05-2023 13:00;0,33 kr.
19-05-2023 13:00;19-05-2023 14:00;0,58 kr.
19-05-2023 14:00;19-05-2023 15:00;0,22 kr.
19-05-2023 15:00;19-05-2023 16:00;0,28 kr.
19-05-2023 16:00;19-05-2023 17:00;0,30 kr.
19-05-2023 17:00;19-05-2023 18:00;0,42 kr.
19-05-2023 18:00;19-05-2023 19:00;0,56 kr.
19-05-2023 19:00;19-05-2023 20:00;0,50 kr.
19-05-2023 20:00;19-05-2023 21:00;2,98 kr.
19-05-2023 21:00;19-05-2023 22:00;1,60 kr.
19-05-2023 22:00;19-05-2023 23:00;0,33 kr.
19-05-2023 23:00;20-05-2023 00:00;0,26 kr.
20-05-2023 00:00;20-05-2023 01:00;0,18 kr.
20-05-2023 01:00;20-05-2023 02:00;0,15 kr.
20-05-2023 02:00;20-05-2023 03:00;0,13 kr.
20-05-2023 03:00;20-05-2023 04:00;0,17 kr.
20-05-2023 04:00;20-05-2023 05:00;0,15 kr.
20-05-2023 05:00;20-05-2023 06:00;0,17 kr.
20-05-2023 06:00;20-05-2023 07:00;0,16 kr.
